Stock_Index,Stock_Name,Weeks_Listed,First_Listed,Last_Listed
2783,"House of Fabrics, Inc.",0,,
2754,Homefed Corp,0,,
2990,International Lease Finance Corporation,0,,
4472,"Philips Industries, Inc.",0,,
499,Aristech Chemical Corporation,0,,
2741,Holiday Corporation,0,,
3262,"L.A. Gear, Inc.",0,,
3239,Koger Properties Inc.,0,,
2028,Esselte Business Systems Inc.,0,,
500,Arkla Exploration Co.,0,,
946,C&S Sovran Corporation,0,,
4511,Pittway Corporation,0,,
4173,Ocean Drilling & Exploration Company,0,,
4117,Norton Company,0,,
2601,Hamilton Oil Corporation,0,,
2602,Hancock Fabrics Inc,0,,
3594,MCA Inc.,0,,
2538,Great Northern Nekoosa Corporation,0,,
6080,Vista Chemical Company,0,,
3515,Manufacturers Hanover Corporation,0,,
6287,"Worldwide Restaurant Concepts, Inc.",0,,
5575,"Telecredit, Inc.",0,,
5542,"TCBY Enterprises, Inc.",0,,
3732,MGM/UA Communications Company,0,,
2221,FirstCity Financial Corp.,0,,
3963,NCR Corporation,0,,
2316,Freeport-McMoRan Gold Co.,0,,
1740,"Diversified Energies, Inc.",0,,
1151,Cetus Corporation,0,,
2400,General Instrument Corporation,0,,
5888,United Artists Entertainment Company,0,,
5890,"United Banks of Colorado, Inc.",0,,
5044,Sea Containers Ltd.,0,,
2209,First Pennsylvania Corporation,0,,
1452,Contel Corporation,0,,
5244,Southeast Bkg Corp Com,0,,
5572,"Telcom, USA, Inc.",0,,
5257,Sovran Financial Corporation,0,,
1499,Corroon & Black Corporation,0,,
1462,Contour Energy Co.,0,,
5239,South Carolina National Corporation,0,,
2301,Foxboro Company,0,,
7255,"Porch Group, Inc.",0,,
5113,"Shearson Lehman Hutton Holdings, Inc.",0,,
5307,Square D Company,0,,
6946,"Unity Biotechnology, Inc.",1,2020-08-14,2020-08-14
6631,Minerva Neurosciences Inc,1,2020-05-22,2020-05-22
2641,Hawthorne Financial Corp.,1,2004-04-02,2004-04-02
647,"Axys Pharmaceuticals, Inc.",1,2000-03-03,2000-03-03
6921,"Kaleido Biosciences, Inc.",1,2019-05-24,2019-05-24
3372,"Life Partners Holdings, Inc.",1,2009-01-02,2009-01-02
692,"Bar Harbor Bankshares, Inc.",1,2017-03-31,2017-03-31
2628,Harris Interactive Inc.,1,2004-01-16,2004-01-16
2051,"Evoq Properties, Inc.",1,2007-10-05,2007-10-05
7195,"Rush Street Interactive, Inc. Class A",1,2020-12-25,2020-12-25
7003,"i3 Verticals, Inc. Class A",1,2020-02-07,2020-02-07
3349,"Liberty Bancorp, Inc.",1,1997-03-07,1997-03-07
7130,Brainstorm Cell Therapeutics Inc.,1,2020-10-09,2020-10-09
7123,XL Fleet Corp. Class A,1,2020-12-25,2020-12-25
7258,Gores Holdings IV Inc Class A,1,2020-12-25,2020-12-25
7117,"Fulcrum Therapeutics, Inc.",1,2020-06-26,2020-06-26
4288,Osteotech,1,1999-02-05,1999-02-05
3081,ITUS Corporation,1,1996-06-14,1996-06-14
4291,Outboard Marine Corporation,1,1994-02-18,1994-02-18
5821,"Twin Disc, incorporated",1,2011-11-18,2011-11-18
4651,Proxim Corporation Class A,1,2002-03-29,2002-03-29
3755,"Mid-American Waste Systems, Inc.",1,1992-02-28,1992-02-28
1103,CECO Environmental Corp.,1,2013-10-18,2013-10-18
3939,"National Vision, Inc.",1,1993-01-01,1993-01-01
5737,TravelCenters of America Inc.,1,2020-12-25,2020-12-25
2478,Global Natural Resources Inc.,1,1996-09-27,1996-09-27
5825,"Tyco Toys, Inc.",1,1992-09-04,1992-09-04
3766,Midwest Air Group Inc.,1,1998-07-10,1998-07-10
2309,Franklin Bank Corp.,1,2006-10-13,2006-10-13
5667,"Tillys, Inc. Class A",1,2012-09-28,2012-09-28
1378,CommNet Cellular Inc.,1,1999-06-25,1999-06-25
4835,"Resource Bancshares Mortgage Group, Inc.",1,1998-07-17,1998-07-17
1729,"Discount Auto Parts, Inc.",1,1996-02-02,1996-02-02
5390,"Straight Path Communications, Inc. Class B",1,2015-10-23,2015-10-23
5079,Semitool,1,2000-07-14,2000-07-14
1444,"CTO Realty Growth, Inc.",1,2005-07-29,2005-07-29
2267,"Foothill Group, Inc.",1,1995-10-06,1995-10-06
7186,IMARA Inc.,1,2020-11-27,2020-11-27
290,"American Apparel, Inc.",1,2008-10-03,2008-10-03
7259,BeyondSpring Inc.,1,2020-11-13,2020-11-13
7189,CuriosityStream Inc Class A,1,2020-12-25,2020-12-25
7178,Qurate Retail Inc 8 % Cum Red Pfd Registered Shs Series A When Issued,1,2020-09-25,2020-09-25
7248,Fathom Holdings Inc,1,2020-12-25,2020-12-25
1533,Crawford & Company Class A,1,1997-09-26,1997-09-26
7245,"Elys Game Technology, Corp.",1,2020-12-25,2020-12-25
97,"Adept Technology, Inc.",1,2000-09-29,2000-09-29
1560,Crusader Energy Group Inc Com,1,2008-10-03,2008-10-03
3901,Nam Tai Property Inc.,1,2018-03-16,2018-03-16
1553,"Crossroads Systems, Inc.",1,2000-07-07,2000-07-07
5083,"Senomyx, Inc.",1,2006-10-13,2006-10-13
1705,Digex Incorporated,1,2001-07-06,2001-07-06
4229,OneComm Corporation,1,1994-08-26,1994-08-26
7096,89bio Inc,1,2020-03-06,2020-03-06
3304,"Lawson Products, Inc.",1,2005-02-04,2005-02-04
532,"Ascent Entertainment Group, Inc.",1,1999-10-29,1999-10-29
6514,Yodlee Inc,1,2015-11-13,2015-11-13
1294,ClinTrials Research Inc.,1,1997-01-31,1997-01-31
4006,Network Access Solutions Co Com,1,2000-07-14,2000-07-14
3983,NetGenesis Corp.,1,2000-04-07,2000-04-07
920,BSML Inc.,1,2001-07-20,2001-07-20
6243,"John Wiley & Sons, Inc. Class B",1,2005-08-26,2005-08-26
6445,Allied Motion Technologies Inc.,1,2018-09-28,2018-09-28
922,"BT Office Products International, Inc.",1,1996-07-05,1996-07-05
805,Clarus Corporation,1,2020-11-06,2020-11-06
721,Caribbean Investment Holdings Limited,1,2000-08-18,2000-08-18
858,"Boron, LePore & Associates, Inc.",1,1998-10-16,1998-10-16
2519,Graham Corporation,2,2008-08-01,2008-08-15
1790,"DSL.net, Inc.",2,2000-07-07,2000-07-14
6338,ZaZa Energy Corp.,2,2006-04-07,2006-04-21
6093,Viveve Medical Inc,2,1996-03-01,1996-03-08
6545,PDS Biotechnology Corp.,2,2018-03-09,2018-03-16
4222,Onconova Therapeutics Inc.,2,2013-09-27,2013-10-04
7012,"TransMedics Group, Inc.",2,2020-12-18,2020-12-25
1933,"ENCAD, Inc.",2,1996-10-04,1997-07-11
375,Ampco-Pittsburgh Corporation,2,2007-07-20,2008-06-20
6964,"Roan Resources, Inc.",2,2019-05-03,2019-05-10
4435,Periphonics Corporation,2,1999-10-29,1999-11-05
7232,Apartment Income REIT Corp,2,2020-12-18,2020-12-25
461,Aradigm Corporation,2,2000-03-03,2000-03-10
7098,"Satsuma Pharmaceuticals, Inc.",2,2020-02-07,2020-06-19
9,3Dfx Interactive,2,1999-05-21,1999-05-28
377,AmpliPhi BioSciences Corporation,2,2000-07-07,2000-08-25
2846,"Idera Pharmaceuticals, Inc.",2,2015-02-27,2015-03-06
2952,"Integrated Circuit Systems, Inc.",2,1997-10-03,1997-10-10
2953,"Integrated Defense Technologies, Inc.",2,2002-07-05,2002-09-13
2871,Immersion Corporation,2,2007-07-13,2018-06-15
1597,Cylink Corporation,2,2000-07-07,2000-07-14
1552,"Crossmann Communities, Inc.",2,2002-03-01,2002-04-12
2929,Innovex Inc.,2,1997-05-09,1997-05-16
2264,Foamex Intl Inc Com New,2,1997-01-31,1997-02-07
2237,Flagstar Co. Inc.,2,1994-03-11,1994-03-18
5363,Sterling Bancorp,2,2004-12-03,2004-12-31
5367,"Sterling Construction Company, Inc.",2,2020-12-18,2020-12-25
4862,"RFS Hotel Investors, Inc.",2,1998-05-01,1998-05-08
4972,Salton,2,2000-02-11,2000-03-03
5391,Strasbaugh,2,2000-12-08,2000-12-15
3890,"MyPoints.com, Inc.",2,2000-07-14,2000-07-21
1528,"CRA Managed Care, Inc.",2,1996-10-18,1997-08-29
1614,Daegis Inc.,2,1999-12-10,1999-12-17
7137,"Romeo Power, Inc. Class A",2,2020-12-18,2020-12-25
7135,Tuscan Holdings Corp.,2,2020-12-11,2020-12-25
5647,"Thomas Properties Group, Inc.",2,2007-10-05,2007-10-12
3988,Netcentives Inc Com,2,2000-07-07,2000-07-14
3801,MobileMedia Corporation,2,1996-07-05,1996-07-12
3684,Meridian Gold Inc.,2,1993-07-02,1993-07-30
